student_id,name,courses,gpa
STU00001,Student_1,MATH2010:C+;PSYCH1010:B+;ECON1010:B;CSE3100:B;MATH1010:C+;CSE2050:A,
STU00002,Student_2,MATH2010:C+;CHEM1010:C+;PHYS1010:D;PSYCH1010:C;BIO1010:B-;CSE2050:F,
STU00003,Student_3,PSYCH1010:A-;CHEM1010:B-;ENG1010:C+;MATH1010:A;BIO1010:C+,
STU00004,Student_4,CSE2050:B;ECON1010:C-;MATH2010:A;PSYCH1010:B,
STU00005,Student_5,MATH2010:B-;CHEM1010:A-;PHYS1010:C+;BIO1010:A-;CSE3100:A,
STU00006,Student_6,CSE2050:B-;CSE3100:B+;PHYS2010:C;PHYS1010:C-;BUS1010:A-;CHEM1010:A-,
STU00007,Student_7,CSE1010:D;CSE3100:C;MATH2010:A;PHYS2010:C;ECON1010:A-,
STU00008,Student_8,MATH2010:A;BIO1010:B+;ECON1010:B-;CSE3100:D;PSYCH1010:B+,
STU00009,Student_9,CSE2050:C+;CSE3100:C;CHEM1010:B;MATH2010:B+,
STU00010,Student_10,BIO1010:B;PHYS1010:F;MATH2010:C;MATH1010:B+;CSE1010:B,
STU00011,Student_11,PHYS1010:B;MATH2010:B+;CSE3100:C+,
STU00012,Student_12,BUS1010:B;ECON1010:C-;PHYS1010:B+;PHYS2010:D;BIO1010:B+,
STU00013,Student_13,BUS1010:C;MATH2010:B;PSYCH1010:B;BIO1010:A-;CSE3100:B-,
STU00014,Student_14,PHYS2010:C;CSE1010:A;MATH2010:A;BUS1010:C+;ECON1010:A,
STU00015,Student_15,CSE1010:B;CHEM1010:B+;BUS1010:C+;CSE3100:C;MATH1010:C;BIO1010:A-,
STU00016,Student_16,CHEM1010:B+;ENG1010:B-;PHYS1010:C+;CSE2050:B+,
STU00017,Student_17,PSYCH1010:C-;MATH1010:B+;ENG1010:A;CSE1010:B;CSE3100:B,
STU00018,Student_18,MATH1010:F;CHEM1010:A-;BUS1010:C+,
STU00019,Student_19,PSYCH1010:A;BUS1010:A;CSE1010:B,
STU00020,Student_20,PHYS1010:C-;MATH2010:B-;CSE2050:B+,
STU00021,Student_21,PHYS2010:A;CSE2050:D;MATH2010:C;PHYS1010:A-;ENG1010:A;CSE3100:A,
STU00022,Student_22,ENG1010:B+;PHYS2010:B;CSE3100:B;PHYS1010:A-,
STU00023,Student_23,BUS1010:C;CSE3100:C+;PSYCH1010:C+;MATH1010:B-;ECON1010:C+,
STU00024,Student_24,MATH2010:A;PHYS1010:C-;BIO1010:F;PSYCH1010:C+,
STU00025,Student_25,ECON1010:C;PHYS2010:C-;MATH2010:B+;CSE3100:A;BUS1010:C+,
STU00026,Student_26,MATH1010:B+;CSE1010:B;ECON1010:C;BIO1010:C-;PHYS2010:B;MATH2010:C,
STU00027,Student_27,MATH1010:A;ECON1010:C-;BUS1010:B;ENG1010:C;MATH2010:B+;BIO1010:B,
STU00028,Student_28,PSYCH1010:B-;CHEM1010:C+;MATH1010:C;BUS1010:A,
STU00029,Student_29,BUS1010:A-;CHEM1010:C+;CSE3100:C-;MATH2010:A;MATH1010:B+;PHYS1010:D,
STU00030,Student_30,MATH1010:C+;CHEM1010:C;CSE1010:C-;MATH2010:B,
STU00031,Student_31,PSYCH1010:A;MATH1010:B;MATH2010:C+,
STU00032,Student_32,CSE2050:B;BIO1010:B-;CSE1010:C;MATH2010:C+;CSE3100:C,
STU00033,Student_33,CSE3100:F;PHYS2010:C;CSE2050:B-,
STU00034,Student_34,CSE2050:A;BUS1010:B;CSE1010:B+,
